City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
188,Hualmay,PE,2020-04-18 18:49:27,-11.1,-77.61,77.65,61,52,9.24,broken clouds,0.0,0.0
189,Vestmanna,FO,2020-04-18 18:54:03,62.16,-7.17,44.6,75,0,14.99,clear sky,0.0,0.0
190,Asyut,EG,2020-04-18 18:54:03,27.18,31.18,73.4,43,0,17.22,clear sky,0.0,0.0
191,Umba,RU,2020-04-18 18:49:09,66.69,34.34,32.65,95,83,11.72,broken clouds,0.0,0.0
192,Nantong,CN,2020-04-18 18:54:03,32.03,120.87,54.0,95,100,13.44,heavy intensity rain,0.0,0.0
193,Yuxia,CN,2020-04-18 18:54:04,34.06,108.63,50.0,87,75,2.24,mist,0.0,0.0
194,Tasiilaq,GL,2020-04-18 18:54:04,65.61,-37.64,32.0,91,90,17.22,overcast clouds,0.0,0.0
195,Naryan-Mar,RU,2020-04-18 18:54:04,67.67,53.09,32.95,96,100,5.1,overcast clouds,0.0,0.0
196,Rodos,GR,2020-04-18 18:54:04,36.44,28.22,62.6,77,20,6.93,few clouds,0.0,0.0
197,Mackenzie,CA,2020-04-18 18:54:04,55.3,-123.17,44.6,42,1,2.24,clear sky,0.0,0.0
198,Kousseri,CM,2020-04-18 18:54:05,12.08,15.03,96.8,5,64,6.93,broken clouds,0.0,0.0
199,Berlevag,NO,2020-04-18 18:54:05,70.86,29.09,33.8,86,75,11.41,broken clouds,0.0,0.0
200,Jizan,SA,2020-04-18 18:54:05,17.33,42.67,89.6,66,20,3.36,few clouds,0.0,0.0
201,Duldurga,RU,2020-04-18 18:54:05,50.68,113.59,32.99,63,4,10.74,clear sky,0.0,0.0
202,Saskylakh,RU,2020-04-18 18:54:05,71.92,114.08,8.49,81,0,5.06,clear sky,0.0,0.0
203,Necochea,AR,2020-04-18 18:54:06,-38.55,-58.74,81.0,44,0,18.01,clear sky,0.0,0.0
204,Broken Hill,AU,2020-04-18 18:54:06,-31.95,141.43,51.8,62,43,1.48,scattered clouds,0.0,0.0
205,Mahebourg,MU,2020-04-18 18:54:06,-20.41,57.7,79.0,74,40,16.11,shower rain,0.0,0.0
206,Yeppoon,AU,2020-04-18 18:54:06,-23.13,150.73,73.4,83,75,2.24,broken clouds,0.0,0.0
207,Krasnogorsk,RU,2020-04-18 18:54:06,55.82,37.32,35.6,75,98,13.42,overcast clouds,0.0,0.0
208,Cabedelo,BR,2020-04-18 18:54:07,-6.98,-34.83,86.0,70,40,10.29,scattered clouds,0.0,0.0
209,Kachiry,KZ,2020-04-18 18:54:07,53.07,76.1,55.58,44,83,9.13,broken clouds,0.0,0.0
210,East London,ZA,2020-04-18 18:54:07,-33.02,27.91,71.94,64,0,17.94,clear sky,0.0,0.0
211,Mogadishu,SO,2020-04-18 18:54:07,2.04,45.34,84.54,75,88,13.35,overcast clouds,0.0,0.0
212,Kosh-Agach,RU,2020-04-18 18:54:08,50.0,88.67,30.31,37,0,3.38,clear sky,0.0,0.0
213,Morovis,PR,2020-04-18 18:54:08,18.33,-66.41,84.99,82,41,13.11,light rain,0.19,0.0
214,Kurbnesh,AL,2020-04-18 18:54:08,41.78,20.08,57.2,82,41,2.24,scattered clouds,0.0,0.0
215,Acapulco,MX,2020-04-18 18:54:08,16.86,-99.89,86.0,55,5,8.05,haze,0.0,0.0
216,Chongwe,ZM,2020-04-18 18:54:08,-15.33,28.68,68.0,72,0,4.7,clear sky,0.0,0.0
217,Chuy,UY,2020-04-18 18:54:09,-33.7,-53.46,70.14,70,32,6.78,scattered clouds,0.0,0.0
218,Vostok,RU,2020-04-18 18:49:48,46.49,135.88,34.97,75,27,3.09,scattered clouds,0.0,0.0
219,Vanimo,PG,2020-04-18 18:54:09,-2.67,141.3,81.12,76,88,2.77,light rain,0.16,0.0
220,Miramar,US,2020-04-18 18:54:09,25.99,-80.23,93.2,46,40,8.05,scattered clouds,0.0,0.0
221,Mareeba,AU,2020-04-18 18:53:01,-17.0,145.43,75.2,100,90,1.25,overcast clouds,0.0,0.0
222,New Norfolk,AU,2020-04-18 18:54:10,-42.78,147.06,43.0,85,70,3.62,broken clouds,0.0,0.0
223,Saint-Georges,GD,2020-04-18 18:54:10,12.06,-61.75,86.0,66,20,19.46,few clouds,0.0,0.0
224,Marmarion,GR,2020-04-18 18:52:25,38.05,24.32,59.0,67,1,2.24,clear sky,0.0,0.0
225,Guerrero Negro,MX,2020-04-18 18:54:08,27.98,-114.06,65.25,56,2,16.64,clear sky,0.0,0.0
226,Luderitz,NA,2020-04-18 18:54:10,-26.65,15.16,60.8,87,11,6.93,few clouds,0.0,0.0
227,Rocha,UY,2020-04-18 18:54:11,-34.48,-54.33,72.12,59,0,7.54,clear sky,0.0,0.0
228,Anadyr,RU,2020-04-18 18:54:11,64.75,177.48,15.8,85,90,17.9,light snow,0.0,0.0
