City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Esperance,AU,2020-04-18 16:52:10,-33.87,121.9,60.8,93,90,12.75
224,Imbituba,BR,2020-04-18 16:53:01,-28.24,-48.67,77.0,61,40,12.75
225,Kyenjojo,UG,2020-04-18 16:55:22,0.63,30.62,61.68,67,100,1.48
226,Hualmay,PE,2020-04-18 16:52:28,-11.1,-77.61,77.65,61,52,9.24
227,Norman Wells,CA,2020-04-18 16:51:28,65.28,-126.83,32.0,87,90,7.05
228,Porec,HR,2020-04-18 16:55:23,45.23,13.59,64.99,67,91,5.82
229,Aswan,EG,2020-04-18 16:55:23,24.09,32.91,73.24,23,69,3.38
230,Labuhan,ID,2020-04-18 16:50:59,-6.88,112.21,79.86,82,70,1.1
231,Bonthe,SL,2020-04-18 16:55:24,7.53,-12.51,82.18,71,100,10.83
232,Tabou,CI,2020-04-18 16:55:24,4.42,-7.35,81.72,83,88,9.1
233,Lodingen,NO,2020-04-18 16:55:24,68.41,16.0,41.0,86,75,26.4
234,Belfast,GB,2020-04-18 16:52:37,54.58,-5.93,52.0,62,69,10.29
235,Marquette,US,2020-04-18 16:55:25,46.53,-87.63,41.49,73,100,16.78
236,Port Hardy,CA,2020-04-18 16:55:25,50.7,-127.42,46.4,93,90,5.82
237,Cabo San Lucas,MX,2020-04-18 16:52:35,22.89,-109.91,78.01,72,20,19.46
238,Talnakh,RU,2020-04-18 16:52:15,69.49,88.4,37.4,74,100,31.32
239,Tacoronte,ES,2020-04-18 16:55:26,28.48,-16.41,62.01,87,40,14.99
240,Olafsvik,IS,2020-04-18 16:55:26,64.89,-23.71,34.79,90,100,5.95
241,Ray,IN,2020-04-18 16:55:26,23.68,85.05,77.0,61,20,0.89
242,Mariental,NA,2020-04-18 16:55:27,-24.63,17.97,82.96,17,26,9.13
243,Gondanglegi,ID,2020-04-18 16:55:27,-7.75,112.01,76.5,86,98,2.13
244,Baijiantan,CN,2020-04-18 16:52:10,45.63,85.18,62.22,44,52,5.66
245,Kahului,US,2020-04-18 16:51:24,20.89,-156.47,71.01,77,1,4.7
246,Sao Joao Da Barra,BR,2020-04-18 16:51:20,-21.64,-41.05,78.8,61,75,11.41
247,Svetlogorsk,BY,2020-04-18 16:52:29,52.63,29.73,39.07,69,70,6.24
248,San Vicente,AR,2020-04-18 16:55:28,-26.62,-54.13,80.53,27,19,2.77
249,Mackay,AU,2020-04-18 16:55:28,-21.15,149.2,73.0,88,0,5.82
250,Teguise,ES,2020-04-18 16:55:28,29.06,-13.56,66.2,82,40,6.93
251,Horta,PT,2020-04-18 16:55:28,38.53,-28.63,64.4,88,75,10.29
252,Focuri,RO,2020-04-18 16:55:29,47.35,27.22,61.0,28,95,3.0
253,Cidreira,BR,2020-04-18 16:51:52,-30.18,-50.21,71.73,65,3,10.78
254,Severo-Kurilsk,RU,2020-04-18 16:52:18,50.68,156.12,32.68,88,0,9.04
255,Kirakira,SB,2020-04-18 16:51:34,-10.45,161.92,77.43,86,100,0.74
256,Sitka,US,2020-04-18 16:51:43,57.05,-135.33,39.2,93,75,3.09
257,Kupang,ID,2020-04-18 16:55:30,-10.17,123.58,79.68,80,32,10.07
258,Najran,SA,2020-04-18 16:55:30,17.49,44.13,89.6,21,40,9.17
259,Sistranda,NO,2020-04-18 16:55:30,63.73,8.83,44.6,87,75,8.05
260,Half Moon Bay,US,2020-04-18 16:55:30,37.46,-122.43,57.99,66,90,9.17
261,Magaria,NE,2020-04-18 16:55:31,13.0,8.91,85.84,10,68,6.02
262,Tombouctou,ML,2020-04-18 16:55:31,20.0,-3.0,101.75,8,61,7.67
263,Chippewa Falls,US,2020-04-18 16:55:31,44.94,-91.39,54.0,40,1,20.8
264,Nuuk,GL,2020-04-18 16:52:56,64.18,-51.72,26.6,73,90,20.8
265,Fairbanks,US,2020-04-18 16:50:02,64.84,-147.72,37.99,100,90,2.98
266,Griffith,US,2020-04-18 16:51:15,41.53,-87.42,52.0,57,1,16.11
267,Padang,ID,2020-04-18 16:55:32,-0.95,100.35,78.89,77,100,0.98
268,Rio Grande,BR,2020-04-18 16:52:10,-32.03,-52.1,73.4,69,40,9.17
269,Evensk,RU,2020-04-18 16:55:32,61.95,159.23,10.67,88,81,11.99
270,Qarchi Gak,AF,2020-04-18 16:55:32,37.04,66.79,69.01,55,26,4.7
271,La Ronge,CA,2020-04-18 16:53:04,55.1,-105.28,24.8,53,40,9.17
272,Kaoma,ZM,2020-04-18 16:51:01,-14.78,24.8,70.93,48,91,5.97
273,Nome,US,2020-04-18 16:52:00,64.5,-165.41,33.8,100,90,8.05
